CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
82821020.0,-25.4233146347775,-49.2160678044742,1,06:00:00,92,82900480.0,-25.445789018659,-49.2173394258684,NÃO,06:01:35
82900480.0,-25.445789018659,-49.2173394258684,1,06:02:47,92,80510360.0,-25.4193944591681,-49.2858097118247,NÃO,06:07:57
80510360.0,-25.4193944591681,-49.2858097118247,1,06:09:09,76,80730270.0,-25.4395442941516,-49.3020722939492,NÃO,06:11:19
80730270.0,-25.4395442941516,-49.3020722939492,1,06:12:31,96,82020770.0,-25.4035799002893,-49.3165390673192,NÃO,06:15:20
82020770.0,-25.4035799002893,-49.3165390673192,1,06:16:32,84,80440020.0,-25.4428337956861,-49.300747838027,NÃO,06:19:41
80440020.0,-25.4428337956861,-49.300747838027,1,06:20:53,96,81450340.0,-25.4902346316319,-49.3486330527676,NÃO,06:25:20
81450340.0,-25.4902346316319,-49.3486330527676,1,06:26:32,88,81260210.0,-25.4862514891775,-49.350391101116,NÃO,06:26:53
81260210.0,-25.4862514891775,-49.350391101116,1,06:28:05,76,81350320.0,-25.4992029361912,-49.3318588311607,NÃO,06:29:50
81350320.0,-25.4992029361912,-49.3318588311607,1,06:31:02,72,81330220.0,-25.4843712333489,-49.3355483883407,NÃO,06:32:33
81330220.0,-25.4843712333489,-49.3355483883407,1,06:33:45,76,81050411.0,-25.482982,-49.305864,NÃO,06:36:00
81050411.0,-25.482982,-49.305864,1,06:37:12,80,81320083.0,-25.4770955000105,-49.3183277499707,NÃO,06:38:20
81320083.0,-25.4770955000105,-49.3183277499707,1,06:39:32,96,80330120.0,-25.4711980670357,-49.3106388116797,NÃO,06:40:10
80330120.0,-25.4711980670357,-49.3106388116797,1,06:41:22,76,81230560.0,-25.4618345263762,-49.3467354210512,NÃO,06:44:33
81230560.0,-25.4618345263762,-49.3467354210512,1,06:45:45,96,81230392.0,-25.4603003707953,-49.340657573102,NÃO,06:46:09
81230392.0,-25.4603003707953,-49.340657573102,1,06:47:21,96,81450350.0,-25.4902280000456,-49.348047000162,NÃO,06:49:25
81450350.0,-25.4902280000456,-49.348047000162,1,06:50:37,56,81470255.0,-25.569630444458,-49.3374921110026,NÃO,06:59:28
81470255.0,-25.569630444458,-49.3374921110026,1,07:00:40,84,81945040.0,-25.6022235414387,-49.3138372232201,NÃO,07:03:46
81945040.0,-25.6022235414387,-49.3138372232201,1,07:04:58,60,81480216.0,-25.5592031642591,-49.3274865425991,NÃO,07:09:57
81480216.0,-25.5592031642591,-49.3274865425991,1,07:11:09,40,81150120.0,-25.5170223068465,-49.3040621642926,NÃO,07:19:02
81150120.0,-25.5170223068465,-49.3040621642926,1,07:20:14,36,81050637.0,-25.4835295000015,-49.3145007999984,NÃO,07:26:41
81050637.0,-25.4835295000015,-49.3145007999984,1,07:27:53,80,81450410.0,-25.4981067710058,-49.3448539613686,NÃO,07:30:29
81450410.0,-25.4981067710058,-49.3448539613686,1,07:31:41,60,81470300.0,-25.575776177431,-49.3365443994341,NÃO,07:40:22
81470300.0,-25.575776177431,-49.3365443994341,1,07:41:34,48,81350607.0,-25.5098119631631,-49.3366327775834,SIM,07:50:45
81350607.0,-25.5098119631631,-49.3366327775834,1,07:51:57,64,81240490.0,-25.4789005295822,-49.3358291909315,NÃO,07:55:11
81240490.0,-25.4789005295822,-49.3358291909315,1,07:56:23,80,81250210.0,-25.4756844576971,-49.3473682666473,NÃO,07:57:18
81250210.0,-25.4756844576971,-49.3473682666473,1,07:58:30,52,81270220.0,-25.4591060306723,-49.3531713829059,NÃO,08:00:44
81270220.0,-25.4591060306723,-49.3531713829059,1,08:01:56,96,81260350.0,-25.4831184667002,-49.3499515999385,NÃO,08:03:37
81260350.0,-25.4831184667002,-49.3499515999385,1,08:04:49,88,81450520.0,-25.4951670667098,-49.3442928001987,NÃO,08:05:49
81450520.0,-25.4951670667098,-49.3442928001987,1,08:07:01,76,81450195.0,-25.4997584943394,-49.3532384355102,NÃO,08:07:50
81450195.0,-25.4997584943394,-49.3532384355102,1,08:09:02,96,81460210.0,-25.5323146848334,-49.3335573678969,NÃO,08:11:37
81460210.0,-25.5323146848334,-49.3335573678969,1,08:12:49,52,81452334.0,-25.5061884000766,-49.3539056000423,NÃO,08:16:55
81452334.0,-25.5061884000766,-49.3539056000423,1,08:18:07,48,81110522.0,-25.5094403220237,-49.2915096538449,NÃO,08:25:58
81110522.0,-25.5094403220237,-49.2915096538449,1,08:27:10,68,81830300.0,-25.5229877082695,-49.2642839884632,NÃO,08:29:56
81830300.0,-25.5229877082695,-49.2642839884632,1,08:31:08,64,81900560.0,-25.5386532636233,-49.2709988129397,NÃO,08:32:54
81900560.0,-25.5386532636233,-49.2709988129397,1,08:34:06,48,81940200.0,-25.5579957528383,-49.3005594977692,NÃO,08:38:41
81940200.0,-25.5579957528383,-49.3005594977692,1,08:39:53,80,81925567.0,-25.5516863820233,-49.2689271518567,NÃO,08:42:20
81925567.0,-25.5516863820233,-49.2689271518567,1,08:43:32,88,81900670.0,-25.5457748986399,-49.2827186530876,NÃO,08:44:35
