CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
82821020.0,-25.4233146347775,-49.2160678044742,1,06:00:00,72,82530380.0,-25.4300625729625,-49.2336060009616,NÃO,06:01:39
82530380.0,-25.4300625729625,-49.2336060009616,1,06:02:51,84,82530060.0,-25.425394880957,-49.2359359145395,NÃO,06:03:17
82530060.0,-25.425394880957,-49.2359359145395,1,06:04:29,96,82800310.0,-25.4363060856137,-49.2266446131255,NÃO,06:05:24
82800310.0,-25.4363060856137,-49.2266446131255,1,06:06:36,92,80050440.0,-25.4325298004091,-49.2411146661928,NÃO,06:07:39
80050440.0,-25.4325298004091,-49.2411146661928,1,06:08:51,96,80010040.0,-25.433306347953,-49.2586024190518,NÃO,06:10:00
80010040.0,-25.433306347953,-49.2586024190518,1,06:11:12,76,80045160.0,-25.4227240373025,-49.257747950136,NÃO,06:12:11
80045160.0,-25.4227240373025,-49.257747950136,1,06:13:23,76,80215650.0,-25.4484380190541,-49.2490664368478,NÃO,06:15:37
80215650.0,-25.4484380190541,-49.2490664368478,1,06:16:49,68,81710380.0,-25.4967925893433,-49.2594143510465,NÃO,06:21:27
81710380.0,-25.4967925893433,-49.2594143510465,1,06:22:39,52,81130270.0,-25.5076616583274,-49.3009496047833,NÃO,06:27:54
81130270.0,-25.5076616583274,-49.3009496047833,1,06:29:06,96,81312000.0,-25.5030856483401,-49.3152229520216,NÃO,06:30:07
81312000.0,-25.5030856483401,-49.3152229520216,1,06:31:19,92,81305650.0,-25.5010554166774,-49.3233459999556,NÃO,06:31:54
81305650.0,-25.5010554166774,-49.3233459999556,1,06:33:06,96,81170762.0,-25.51557721054,-49.3290638947933,NÃO,06:34:09
81170762.0,-25.51557721054,-49.3290638947933,1,06:35:21,60,81870352.0,-25.5241770000303,-49.2937684998992,NÃO,06:38:46
81870352.0,-25.5241770000303,-49.2937684998992,1,06:39:58,92,81880380.0,-25.5395481532947,-49.2924784574248,NÃO,06:41:03
81880380.0,-25.5395481532947,-49.2924784574248,1,06:42:15,88,81880240.0,-25.5404745077498,-49.2975794776044,NÃO,06:42:38
81880240.0,-25.5404745077498,-49.2975794776044,1,06:43:50,88,81480141.0,-25.5562061667039,-49.3231896667236,NÃO,06:45:59
81480141.0,-25.5562061667039,-49.3231896667236,1,06:47:11,92,81470255.0,-25.569630444458,-49.3374921110026,NÃO,06:48:32
81470255.0,-25.569630444458,-49.3374921110026,1,06:49:44,92,81490370.0,-25.5945839118607,-49.3348460297419,NÃO,06:51:29
81490370.0,-25.5945839118607,-49.3348460297419,1,06:52:41,92,81490280.0,-25.5975675014877,-49.3235433911466,NÃO,06:53:25
81490280.0,-25.5975675014877,-49.3235433911466,1,06:54:37,92,81945040.0,-25.6022235414387,-49.3138372232201,NÃO,06:55:18
81945040.0,-25.6022235414387,-49.3138372232201,1,06:56:30,92,81490620.0,-25.6132684714507,-49.3349370738516,NÃO,06:58:08
81490620.0,-25.6132684714507,-49.3349370738516,1,06:59:20,36,81490400.0,-25.5959260793478,-49.3357867186009,NÃO,07:02:56
81490400.0,-25.5959260793478,-49.3357867186009,1,07:04:08,92,81470346.0,-25.5796239000291,-49.33524810001,NÃO,07:05:19
81470346.0,-25.5796239000291,-49.33524810001,1,07:06:31,92,81470370.0,-25.5778784839382,-49.3341110960705,NÃO,07:06:40
81470370.0,-25.5778784839382,-49.3341110960705,1,07:07:52,80,81470290.0,-25.5737515550149,-49.3412589936849,NÃO,07:08:31
81470290.0,-25.5737515550149,-49.3412589936849,1,07:09:43,48,81480216.0,-25.5592031642591,-49.3274865425991,NÃO,07:12:23
81480216.0,-25.5592031642591,-49.3274865425991,1,07:13:35,36,81470175.0,-25.567186531582,-49.3334716250438,NÃO,07:15:23
81470175.0,-25.567186531582,-49.3334716250438,1,07:16:35,84,81470055.0,-25.5630048148415,-49.3383968771216,NÃO,07:17:05
81470055.0,-25.5630048148415,-49.3383968771216,1,07:18:17,84,81150120.0,-25.5170223068465,-49.3040621642926,NÃO,07:22:42
81150120.0,-25.5170223068465,-49.3040621642926,1,07:23:54,56,81150130.0,-25.5161805037496,-49.3043711084487,NÃO,07:24:01
81150130.0,-25.5161805037496,-49.3043711084487,1,07:25:13,92,81170370.0,-25.514465668778,-49.3258065209142,NÃO,07:26:38
81170370.0,-25.514465668778,-49.3258065209142,1,07:27:50,92,81460235.0,-25.5296041641745,-49.3384583258202,NÃO,07:29:13
81460235.0,-25.5296041641745,-49.3384583258202,1,07:30:25,64,81315685.0,-25.5115270000027,-49.3255583333193,NÃO,07:32:40
81315685.0,-25.5115270000027,-49.3255583333193,1,07:33:52,60,81170755.0,-25.5160188418949,-49.3308090343913,NÃO,07:34:36
81170755.0,-25.5160188418949,-49.3308090343913,1,07:35:48,48,81170662.0,-25.5172792272985,-49.3183728182903,NÃO,07:37:23
81170662.0,-25.5172792272985,-49.3183728182903,1,07:38:35,88,81940210.0,-25.5603014782721,-49.2872240368535,NÃO,07:42:29
81940210.0,-25.5603014782721,-49.2872240368535,1,07:43:41,76,81900670.0,-25.5457748986399,-49.2827186530876,NÃO,07:45:01
81900670.0,-25.5457748986399,-49.2827186530876,1,07:46:13,80,81910570.0,-25.5339269047986,-49.2586402382427,NÃO,07:48:17
81910570.0,-25.5339269047986,-49.2586402382427,1,07:49:29,92,81910390.0,-25.5316857069475,-49.261658650228,NÃO,07:49:45
81910390.0,-25.5316857069475,-49.261658650228,1,07:50:57,92,81910030.0,-25.5361378385276,-49.2685374132639,NÃO,07:51:31
81910030.0,-25.5361378385276,-49.2685374132639,1,07:52:43,92,81920735.0,-25.5391678846873,-49.2615212690534,NÃO,07:53:14
81920735.0,-25.5391678846873,-49.2615212690534,1,07:54:26,96,81925578.0,-25.5519935625411,-49.267926124915,NÃO,07:55:25
81925578.0,-25.5519935625411,-49.267926124915,1,07:56:37,88,81920747.0,-25.5329949004335,-49.2526856997565,NÃO,07:58:24
