=== OTIMIZAÇÃO DE ROTA DE DRONE (AG PURO V3) ===

Carregando dados...
Iniciando AG PURO V3...
=== INICIANDO AG PURO V3 (DISTÂNCIA + TEMPO) ===
G 59 | Fit: 0.27832 | Dist: 2484.9km | Tempo: ~2547min | Rec: 23 | Stag: 0
G 60 | Fit: 0.27832 | Dist: 2484.9km | Tempo: ~2547min | Rec: 23 | Stag: 1
G 61 | Fit: 0.27832 | Dist: 2484.9km | Tempo: ~2547min | Rec: 23 | Stag: 2
G 62 | Fit: 0.28198 | Dist: 2459.4km | Tempo: ~2521min | Rec: 22 | Stag: 0
G 63 | Fit: 0.28198 | Dist: 2459.4km | Tempo: ~2521min | Rec: 22 | Stag: 1
G 64 | Fit: 0.28297 | Dist: 2442.4km | Tempo: ~2514min | Rec: 26 | Stag: 0
G 65 | Fit: 0.28451 | Dist: 2420.9km | Tempo: ~2504min | Rec: 29 | Stag: 0
G 66 | Fit: 0.28723 | Dist: 2417.0km | Tempo: ~2485min | Rec: 24 | Stag: 0
G 67 | Fit: 0.28981 | Dist: 2413.0km | Tempo: ~2468min | Rec: 20 | Stag: 0
G 68 | Fit: 0.29458 | Dist: 2377.9km | Tempo: ~2437min | Rec: 21 | Stag: 0
G 69 | Fit: 0.29458 | Dist: 2377.9km | Tempo: ~2437min | Rec: 21 | Stag: 1
G 70 | Fit: 0.29469 | Dist: 2379.4km | Tempo: ~2436min | Rec: 20 | Stag: 0
G 71 | Fit: 0.29628 | Dist: 2365.4km | Tempo: ~2426min | Rec: 21 | Stag: 0
G 72 | Fit: 0.29628 | Dist: 2365.4km | Tempo: ~2426min | Rec: 21 | Stag: 1
G 73 | Fit: 0.29628 | Dist: 2365.4km | Tempo: ~2426min | Rec: 21 | Stag: 2
G 74 | Fit: 0.29782 | Dist: 2350.4km | Tempo: ~2416min | Rec: 23 | Stag: 0
G 75 | Fit: 0.30052 | Dist: 2339.9km | Tempo: ~2398min | Rec: 20 | Stag: 0
G 76 | Fit: 0.30052 | Dist: 2339.9km | Tempo: ~2398min | Rec: 20 | Stag: 1
G 77 | Fit: 0.30212 | Dist: 2331.0km | Tempo: ~2388min | Rec: 20 | Stag: 0
G 78 | Fit: 0.30212 | Dist: 2331.0km | Tempo: ~2388min | Rec: 20 | Stag: 1
G 79 | Fit: 0.30212 | Dist: 2331.0km | Tempo: ~2388min | Rec: 20 | Stag: 2
G 80 | Fit: 0.30308 | Dist: 2327.3km | Tempo: ~2382min | Rec: 19 | Stag: 0
G 81 | Fit: 0.30346 | Dist: 2323.8km | Tempo: ~2380min | Rec: 20 | Stag: 0
G 82 | Fit: 0.30413 | Dist: 2320.6km | Tempo: ~2376min | Rec: 20 | Stag: 0
G 83 | Fit: 0.30665 | Dist: 2301.0km | Tempo: ~2360min | Rec: 20 | Stag: 0
G 84 | Fit: 0.30701 | Dist: 2301.5km | Tempo: ~2358min | Rec: 20 | Stag: 0
G 85 | Fit: 0.30899 | Dist: 2290.0km | Tempo: ~2346min | Rec: 20 | Stag: 0
G 86 | Fit: 0.31232 | Dist: 2269.6km | Tempo: ~2326min | Rec: 20 | Stag: 0
G 87 | Fit: 0.31232 | Dist: 2269.6km | Tempo: ~2326min | Rec: 20 | Stag: 1
G 88 | Fit: 0.31232 | Dist: 2269.6km | Tempo: ~2326min | Rec: 20 | Stag: 2
G 89 | Fit: 0.31399 | Dist: 2258.2km | Tempo: ~2316min | Rec: 20 | Stag: 0
G 90 | Fit: 0.31532 | Dist: 2253.4km | Tempo: ~2308min | Rec: 19 | Stag: 0
G 91 | Fit: 0.31532 | Dist: 2253.4km | Tempo: ~2308min | Rec: 19 | Stag: 1
G 92 | Fit: 0.31532 | Dist: 2253.4km | Tempo: ~2308min | Rec: 19 | Stag: 2
G 93 | Fit: 0.31776 | Dist: 2242.5km | Tempo: ~2293min | Rec: 19 | Stag: 0
G 94 | Fit: 0.31814 | Dist: 2235.8km | Tempo: ~2291min | Rec: 20 | Stag: 0
G 95 | Fit: 0.31965 | Dist: 2224.1km | Tempo: ~2282min | Rec: 21 | Stag: 0
G 96 | Fit: 0.32355 | Dist: 2205.5km | Tempo: ~2260min | Rec: 19 | Stag: 0
G 97 | Fit: 0.32355 | Dist: 2205.5km | Tempo: ~2260min | Rec: 19 | Stag: 1
G 98 | Fit: 0.32560 | Dist: 2196.5km | Tempo: ~2248min | Rec: 18 | Stag: 0
G 99 | Fit: 0.32560 | Dist: 2196.5km | Tempo: ~2248min | Rec: 18 | Stag: 1
G100 | Fit: 0.32560 | Dist: 2196.5km | Tempo: ~2248min | Rec: 18 | Stag: 2
G101 | Fit: 0.32644 | Dist: 2192.0km | Tempo: ~2243min | Rec: 18 | Stag: 0
G102 | Fit: 0.32652 | Dist: 2189.0km | Tempo: ~2243min | Rec: 19 | Stag: 0
G103 | Fit: 0.32912 | Dist: 2177.0km | Tempo: ~2228min | Rec: 18 | Stag: 0
G104 | Fit: 0.33069 | Dist: 2164.5km | Tempo: ~2219min | Rec: 19 | Stag: 0
G105 | Fit: 0.33069 | Dist: 2164.5km | Tempo: ~2219min | Rec: 19 | Stag: 1
G106 | Fit: 0.33071 | Dist: 2166.8km | Tempo: ~2219min | Rec: 18 | Stag: 0
G107 | Fit: 0.33354 | Dist: 2151.8km | Tempo: ~2203min | Rec: 19 | Stag: 0
G108 | Fit: 0.33460 | Dist: 2147.1km | Tempo: ~2198min | Rec: 19 | Stag: 0
G109 | Fit: 0.33621 | Dist: 2137.1km | Tempo: ~2189min | Rec: 19 | Stag: 0
G110 | Fit: 0.33621 | Dist: 2137.1km | Tempo: ~2189min | Rec: 19 | Stag: 1
