=== INICIANDO AG PURO V3.1 (OTIMIZADO 2) ===
G 521 | Fit: 0.71857 | Dist: 867.3km | Tempo: ~891min | Rec: 9 | Stag: 0 | T:319.4s
G 531 | Fit: 0.72310 | Dist: 856.8km | Tempo: ~880min | Rec: 9 | Stag: 0 | T:328.7s
G 541 | Fit: 0.72883 | Dist: 842.4km | Tempo: ~866min | Rec: 9 | Stag: 0 | T:336.3s
G 551 | Fit: 0.73671 | Dist: 824.4km | Tempo: ~847min | Rec: 8 | Stag: 2 | T:343.5s
G 561 | Fit: 0.73994 | Dist: 816.6km | Tempo: ~839min | Rec: 8 | Stag: 0 | T:350.1s
G 571 | Fit: 0.74547 | Dist: 803.2km | Tempo: ~826min | Rec: 8 | Stag: 0 | T:357.1s
G 581 | Fit: 0.74815 | Dist: 797.6km | Tempo: ~819min | Rec: 8 | Stag: 1 | T:364.0s
G 591 | Fit: 0.75199 | Dist: 788.1km | Tempo: ~810min | Rec: 8 | Stag: 0 | T:371.9s
G 601 | Fit: 0.75668 | Dist: 776.6km | Tempo: ~799min | Rec: 8 | Stag: 0 | T:378.0s
G 611 | Fit: 0.76139 | Dist: 765.8km | Tempo: ~787min | Rec: 8 | Stag: 0 | T:384.4s
G 621 | Fit: 0.76307 | Dist: 762.2km | Tempo: ~783min | Rec: 8 | Stag: 0 | T:391.0s
G 631 | Fit: 0.76520 | Dist: 758.1km | Tempo: ~778min | Rec: 7 | Stag: 0 | T:397.2s
G 641 | Fit: 0.76890 | Dist: 748.4km | Tempo: ~769min | Rec: 8 | Stag: 0 | T:404.0s
G 651 | Fit: 0.77165 | Dist: 743.0km | Tempo: ~763min | Rec: 7 | Stag: 0 | T:411.0s
G 661 | Fit: 0.77340 | Dist: 738.1km | Tempo: ~758min | Rec: 8 | Stag: 0 | T:417.4s
G 671 | Fit: 0.77731 | Dist: 729.3km | Tempo: ~749min | Rec: 7 | Stag: 0 | T:423.9s
G 681 | Fit: 0.78165 | Dist: 719.1km | Tempo: ~739min | Rec: 7 | Stag: 2 | T:431.0s
G 691 | Fit: 0.78544 | Dist: 710.1km | Tempo: ~729min | Rec: 7 | Stag: 1 | T:437.3s
G 701 | Fit: 0.78809 | Dist: 703.7km | Tempo: ~723min | Rec: 7 | Stag: 0 | T:443.8s
G 711 | Fit: 0.78964 | Dist: 700.3km | Tempo: ~719min | Rec: 7 | Stag: 0 | T:450.2s
G 721 | Fit: 0.79197 | Dist: 694.9km | Tempo: ~714min | Rec: 7 | Stag: 0 | T:456.7s
G 731 | Fit: 0.79574 | Dist: 684.5km | Tempo: ~705min | Rec: 7 | Stag: 0 | T:463.1s
G 741 | Fit: 0.80058 | Dist: 674.5km | Tempo: ~693min | Rec: 7 | Stag: 0 | T:469.6s
G 751 | Fit: 0.80752 | Dist: 657.9km | Tempo: ~676min | Rec: 7 | Stag: 0 | T:475.8s
G 761 | Fit: 0.80943 | Dist: 653.2km | Tempo: ~672min | Rec: 7 | Stag: 1 | T:482.4s
G 771 | Fit: 0.81247 | Dist: 647.4km | Tempo: ~664min | Rec: 6 | Stag: 0 | T:489.9s
G 781 | Fit: 0.81676 | Dist: 636.9km | Tempo: ~654min | Rec: 6 | Stag: 0 | T:496.5s
G 791 | Fit: 0.81867 | Dist: 632.8km | Tempo: ~649min | Rec: 6 | Stag: 1 | T:502.9s
G 801 | Fit: 0.82073 | Dist: 627.9km | Tempo: ~644min | Rec: 6 | Stag: 0 | T:508.8s
G 811 | Fit: 0.82251 | Dist: 623.4km | Tempo: ~640min | Rec: 6 | Stag: 0 | T:515.4s
G 821 | Fit: 0.82460 | Dist: 618.1km | Tempo: ~635min | Rec: 6 | Stag: 0 | T:521.7s
G 831 | Fit: 0.82604 | Dist: 614.3km | Tempo: ~631min | Rec: 6 | Stag: 2 | T:527.9s
G 841 | Fit: 0.82897 | Dist: 608.0km | Tempo: ~624min | Rec: 6 | Stag: 0 | T:535.2s
G 851 | Fit: 0.83036 | Dist: 604.5km | Tempo: ~621min | Rec: 6 | Stag: 1 | T:542.0s
G 861 | Fit: 0.83157 | Dist: 601.8km | Tempo: ~618min | Rec: 6 | Stag: 0 | T:549.8s
G 871 | Fit: 0.83355 | Dist: 597.2km | Tempo: ~613min | Rec: 6 | Stag: 0 | T:558.2s
G 881 | Fit: 0.83694 | Dist: 587.8km | Tempo: ~605min | Rec: 6 | Stag: 0 | T:564.5s
