CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
81200390.0,-25.4331374954389,-49.3440640772759,1,07:49:31,60,82410510.0,-25.3732418954991,-49.3291631561723,SIM,07:56:21
82410510.0,-25.3732418954991,-49.3291631561723,1,07:57:33,48,82320220.0,-25.4019988462337,-49.3433039997731,NÃO,08:01:56
82320220.0,-25.4019988462337,-49.3433039997731,1,08:03:08,60,82315390.0,-25.4096763580765,-49.3604395248946,NÃO,08:05:04
82315390.0,-25.4096763580765,-49.3604395248946,1,08:06:16,44,80740620.0,-25.4417320478243,-49.3156172471767,NÃO,08:14:06
80740620.0,-25.4417320478243,-49.3156172471767,1,08:15:18,92,80210400.0,-25.4463780000737,-49.2468984999865,NÃO,08:19:49
80210400.0,-25.4463780000737,-49.2468984999865,1,08:21:01,60,80010040.0,-25.433306347953,-49.2586024190518,NÃO,08:22:54
80010040.0,-25.433306347953,-49.2586024190518,1,08:24:06,60,80035210.0,-25.4018593540355,-49.2501065029327,NÃO,08:27:42
80035210.0,-25.4018593540355,-49.2501065029327,1,08:28:54,60,82630494.0,-25.3769201560983,-49.2197021839363,NÃO,08:33:02
82630494.0,-25.3769201560983,-49.2197021839363,1,08:34:14,76,82515190.0,-25.399238,-49.229496,NÃO,08:36:21
82515190.0,-25.399238,-49.229496,1,08:37:33,88,82930030.0,-25.4568138879969,-49.2056962318778,NÃO,08:42:13
82930030.0,-25.4568138879969,-49.2056962318778,1,08:43:25,60,81590045.0,-25.4936220026944,-49.1988741650016,NÃO,08:47:34
81590045.0,-25.4936220026944,-49.1988741650016,1,08:48:46,60,81850650.0,-25.5414905884625,-49.2439315883873,NÃO,08:55:46
81850650.0,-25.5414905884625,-49.2439315883873,1,08:56:58,96,81110190.0,-25.4985135816744,-49.2879505576038,NÃO,09:01:03
81110190.0,-25.4985135816744,-49.2879505576038,1,09:02:15,60,81070000.0,-25.4763966710448,-49.3031041977101,NÃO,09:05:36
81070000.0,-25.4763966710448,-49.3031041977101,1,09:06:48,88,80620340.0,-25.4540745011999,-49.2732563508827,NÃO,09:09:39
80620340.0,-25.4540745011999,-49.2732563508827,1,09:10:51,92,80620370.0,-25.4578113636589,-49.2746421817496,NÃO,09:11:07
80620370.0,-25.4578113636589,-49.2746421817496,1,09:12:19,60,81030370.0,-25.4881800174281,-49.2756635796428,NÃO,09:15:14
81030370.0,-25.4881800174281,-49.2756635796428,1,09:16:26,60,80220200.0,-25.4672406908201,-49.2801499774178,NÃO,09:19:16
80220200.0,-25.4672406908201,-49.2801499774178,1,09:20:28,96,81050411.0,-25.482982,-49.305864,NÃO,09:22:19
81050411.0,-25.482982,-49.305864,1,09:23:31,60,81305650.0,-25.5010554166774,-49.3233459999556,NÃO,09:25:54
81305650.0,-25.5010554166774,-49.3233459999556,1,09:27:06,52,81880240.0,-25.5404745077498,-49.2975794776044,NÃO,09:32:09
81880240.0,-25.5404745077498,-49.2975794776044,1,09:33:21,60,81935303.0,-25.5548054287395,-49.2658406002244,NÃO,09:36:39
81935303.0,-25.5548054287395,-49.2658406002244,1,09:37:51,80,81830580.0,-25.525272804958,-49.2599985858237,SIM,09:40:42
81830580.0,-25.525272804958,-49.2599985858237,1,09:41:54,76,81590576.0,-25.4942162501529,-49.2012669496276,NÃO,09:47:38
81590576.0,-25.4942162501529,-49.2012669496276,1,09:48:50,60,81590340.0,-25.486945243492,-49.2043714494834,NÃO,09:49:52
81590340.0,-25.486945243492,-49.2043714494834,1,09:51:04,48,81720360.0,-25.5259885359266,-49.2525244997371,NÃO,09:58:10
81720360.0,-25.5259885359266,-49.2525244997371,1,09:59:22,84,81925567.0,-25.5516863820233,-49.2689271518567,NÃO,10:01:31
81925567.0,-25.5516863820233,-49.2689271518567,1,10:02:43,60,81900560.0,-25.5386532636233,-49.2709988129397,NÃO,10:04:11
81900560.0,-25.5386532636233,-49.2709988129397,1,10:05:23,60,81910390.0,-25.5316857069475,-49.261658650228,NÃO,10:06:36
81910390.0,-25.5316857069475,-49.261658650228,1,10:07:48,60,81570240.0,-25.4811182084669,-49.2271006252739,NÃO,10:14:25
81570240.0,-25.4811182084669,-49.2271006252739,1,10:15:37,60,81570360.0,-25.4857325221308,-49.2299521315212,NÃO,10:16:13
81570360.0,-25.4857325221308,-49.2299521315212,1,10:17:25,60,81750280.0,-25.5127671393955,-49.2444025714353,NÃO,10:20:46
81750280.0,-25.5127671393955,-49.2444025714353,1,10:21:58,52,81520300.0,-25.4623570695212,-49.2422078636873,NÃO,10:28:27
81520300.0,-25.4623570695212,-49.2422078636873,1,10:29:39,60,81130330.0,-25.5102533750322,-49.3062616741933,NÃO,10:38:00
81130330.0,-25.5102533750322,-49.3062616741933,1,10:39:12,60,81110240.0,-25.5012202607084,-49.2880626203316,NÃO,10:41:18
81110240.0,-25.5012202607084,-49.2880626203316,1,10:42:30,48,81450195.0,-25.4997584943394,-49.3532384355102,NÃO,10:50:41
81450195.0,-25.4997584943394,-49.3532384355102,1,10:51:53,36,81450520.0,-25.4951670667098,-49.3442928001987,NÃO,10:53:37
81450520.0,-25.4951670667098,-49.3442928001987,1,10:54:49,60,81450310.0,-25.4928927891057,-49.3482807107009,NÃO,10:55:18
81450310.0,-25.4928927891057,-49.3482807107009,1,10:56:30,64,81450140.0,-25.4974735953017,-49.3493514288727,NÃO,10:57:00
81450140.0,-25.4974735953017,-49.3493514288727,1,10:58:12,60,81110330.0,-25.5042910428287,-49.2847716627966,NÃO,11:04:44
81110330.0,-25.5042910428287,-49.2847716627966,1,11:05:56,84,81170370.0,-25.514465668778,-49.3258065209142,NÃO,11:09:00
81170370.0,-25.514465668778,-49.3258065209142,1,11:10:12,36,81315685.0,-25.5115270000027,-49.3255583333193,NÃO,11:10:45
81315685.0,-25.5115270000027,-49.3255583333193,1,11:11:57,80,80330250.0,-25.4685255880972,-49.3077515647853,NÃO,11:15:47
80330250.0,-25.4685255880972,-49.3077515647853,1,11:16:59,56,80330120.0,-25.4711980670357,-49.3106388116797,NÃO,11:17:26
80330120.0,-25.4711980670357,-49.3106388116797,1,11:18:38,84,81030380.0,-25.4878438322257,-49.2772121864255,NÃO,11:21:23
81030380.0,-25.4878438322257,-49.2772121864255,1,11:22:35,68,81825210.0,-25.5262738689431,-49.2736153558222,SIM,11:26:23
81825210.0,-25.5262738689431,-49.2736153558222,1,11:27:35,60,81460235.0,-25.5296041641745,-49.3384583258202,NÃO,11:34:07
81460235.0,-25.5296041641745,-49.3384583258202,1,11:35:19,88,81870352.0,-25.5241770000303,-49.2937684998992,NÃO,11:38:25
81870352.0,-25.5241770000303,-49.2937684998992,1,11:39:37,88,81940210.0,-25.5603014782721,-49.2872240368535,NÃO,11:42:24
81940210.0,-25.5603014782721,-49.2872240368535,1,11:43:36,36,81870310.0,-25.524150444185,-49.290210168982,NÃO,11:50:20
81870310.0,-25.524150444185,-49.290210168982,1,11:51:32,88,81480170.0,-25.5633003333374,-49.3185828888561,NÃO,11:55:05
81480170.0,-25.5633003333374,-49.3185828888561,1,11:56:17,56,81490620.0,-25.6132684714507,-49.3349370738516,NÃO,12:02:30
81490620.0,-25.6132684714507,-49.3349370738516,1,12:03:42,92,81910230.0,-25.5278877309024,-49.2672872891657,NÃO,12:11:38
81910230.0,-25.5278877309024,-49.2672872891657,1,12:12:50,92,81150120.0,-25.5170223068465,-49.3040621642926,NÃO,12:15:13
81150120.0,-25.5170223068465,-49.3040621642926,1,12:16:25,60,81050637.0,-25.4835295000015,-49.3145007999984,NÃO,12:20:10
81050637.0,-25.4835295000015,-49.3145007999984,1,12:21:22,56,81070310.0,-25.4777156282764,-49.3079769301493,NÃO,12:22:27
81070310.0,-25.4777156282764,-49.3079769301493,1,12:23:39,60,80610300.0,-25.463999400884,-49.2889687454307,NÃO,12:26:19
80610300.0,-25.463999400884,-49.2889687454307,1,12:27:31,60,81220100.0,-25.4557352095908,-49.3256450071633,NÃO,12:30:57
81220100.0,-25.4557352095908,-49.3256450071633,1,12:32:09,60,81050610.0,-25.4838938211145,-49.3106146746474,NÃO,12:35:47
81050610.0,-25.4838938211145,-49.3106146746474,1,12:36:59,76,81250720.0,-25.4815524899573,-49.3385838295334,NÃO,12:39:02
81250720.0,-25.4815524899573,-49.3385838295334,1,12:40:14,84,81350713.0,-25.496557235688,-49.3371662352983,NÃO,12:41:27
81350713.0,-25.496557235688,-49.3371662352983,1,12:42:39,60,81312000.0,-25.5030856483401,-49.3152229520216,NÃO,12:45:15
